符合條件商品
資料日期：2023年  5月  8日
策略,	漲2次數
序號,	代碼,	商品,	成交,	漲幅%,	總量,	漲2次數
執行時間：2023-05-08 23:59 符合檔數(1777)
423	,3095.TW,及成,22.65,1.57,6,44
424	,3131.TW,弘塑,338,-2.45,503,44
425	,3444.TW,利機,62.9,0.32,137,44
426	,3555.TW,重鵬,26.95,0.37,1,44
427	,3686.TW,達能,15.3,0,352,44
428	,3710.TW,連展投控,11.55,-0.43,492,44
429	,4164.TW,承業醫,71.9,-0.96,4243,44
430	,4551.TW,智伸科,139.5,0.72,66,44
431	,4721.TW,美琪瑪,100,-0.5,318,44
432	,5299.TW,杰力,131,3.15,256,44
433	,5371.TW,中光電,76.3,0.66,3929,44
434	,5483.TW,中美晶,154.5,4.39,5911,44
435	,6122.TW,擎邦,31.85,-0.31,2146,44
436	,6127.TW,九豪,23.55,-3.29,5930,44
437	,6230.TW,尼得科超眾,184,9.85,692,44
438	,6570.TW,維田,63.4,1.44,176,44
439	,6625.TW,必應,88.2,2.56,3966,44
440	,6733.TW,博晟生醫,40,-2.44,1433,44
441	,6752.TW,叡揚,177.5,-3.01,444,44
442	,6792.TW,詠業,84.6,-1.51,66,44
443	,8038.TW,長園科,52.6,-2.05,1312,44
444	,8121.TW,越峰,31.5,-0.47,1787,44
445	,1218.TW,泰山,32.75,9.9,26489,43
446	,1316.TW,上曜,13.65,0,4104,43
447	,1560.TW,中砂,111,0.45,664,43
448	,2009.TW,第一銅,32.6,-2.69,1712,43
449	,2612.TW,中航,39,-0.13,233,43
450	,2722.TW,夏都,49.15,-0.51,105,43
451	,2924.TW,宏太-KY,32.95,2.97,5,43
452	,3260.TW,威剛,73.5,-0.27,1451,43
453	,3297.TW,杭特,17.6,0,91,43
454	,3522.TW,御頂,16.75,1.52,466,43
455	,3630.TW,新鉅科,28.85,-0.52,140,43
456	,4198.TW,欣大健康,25.05,0.2,4,43
457	,4702.TW,中美實,14.15,0,91,43
458	,6114.TW,久威,25.05,-0.79,63,43
459	,6187.TW,萬潤,61.1,-0.81,116,43
460	,6287.TW,元隆,23.2,0.87,4,43
461	,6414.TW,樺漢,256.5,0,522,43
462	,6582.TW,申豐,59,-0.17,88,43
463	,8080.TW,永利聯合,10.9,0,1,43
464	,8358.TW,金居,55.6,0.18,4664,43
465	,1512.TW,瑞利,13.15,0.38,65,42
466	,1522.TW,堤維西,29.75,0.51,1372,42
467	,1727.TW,中華化,41.5,0.12,1539,42
468	,2031.TW,新光鋼,46.4,-1.38,1569,42
469	,2303.TW,聯電,50,0.81,27878,42
470	,2331.TW,精英,25.55,-1.54,7660,42
471	,2358.TW,廷鑫,12.4,-2.36,2044,42
472	,2408.TW,南亞科,64.8,-2.85,9260,42
473	,2481.TW,強茂,66.8,0.3,1186,42
474	,2609.TW,陽明,60.5,-1.14,19653,42
475	,2614.TW,東森,19.55,-1.51,1917,42
476	,2637.TW,慧洋-KY,61,-0.16,2672,42
477	,2702.TW,華園,23.35,-1.06,278,42
478	,2756.TW,聯發國際,144,-1.03,53,42
479	,3034.TW,聯詠,429,0.23,3243,42
480	,3149.TW,正達,16.65,-9.76,3847,42
481	,3293.TW,鈊象,556,2.96,1457,42
482	,3294.TW,英濟,18.4,0,251,42
483	,3305.TW,昇貿,49.8,-1.39,756,42
484	,3338.TW,泰碩,48.2,-2.13,5184,42
485	,3483.TW,力致,77.3,9.96,6953,42
486	,3518.TW,柏騰,32.7,1.55,693,42
487	,3583.TW,辛耘,89.9,-1.21,788,42
488	,3666.TW,光耀,23.45,5.63,1424,42
489	,4908.TW,前鼎,35.15,-0.14,341,42
490	,5285.TW,界霖,78.1,0.64,156,42
491	,5309.TW,系統電,44.2,-0.67,3478,42
492	,5344.TW,立衛,15.85,0,23,42
493	,5871.TW,中租-KY,226,2.49,2180,42
494	,6142.TW,友勁,13.65,-0.73,1439,42
495	,6217.TW,中探針,43.15,0,475,42
496	,6226.TW,光鼎,12.4,-1.59,402,42
497	,6291.TW,沛亨,168.5,0,230,42
498	,6514.TW,芮特-KY,58.1,3.75,31,42
499	,6706.TW,惠特,83.9,-2.78,416,42
500	,6751.TW,智聯服務,130,5.26,459,42
501	,6770.TW,力積電,30.3,-1.14,8244,42
