符合條件商品
資料日期：2021年 12月 17日
策略,	00每日資料
序號,	代碼,	商品,	成交,	漲幅%,	總量,	大戶持股比例,	法人持股比例,	融資使用率,	內部人持股比例
執行時間：2021-12-19 14:40 符合檔數(1449)
310	,2369.TW,菱生,26.05,-2.8,6436,27.29,13.12,24.09,4.65
311	,2371.TW,大同,31.9,1.11,24541,66.06,17.68,26.95,2.77
312	,2373.TW,震旦行,89.7,0.22,9,88.68,1.97,0.04,52.71
313	,2374.TW,佳能,24.1,0,6384,33.67,5.89,13.55,12.11
314	,2375.TW,凱美,99.5,-1.49,3001,14.34,8.72,38,7.07
315	,2376.TW,技嘉,154.5,-2.22,14668,68.4,43.69,8.49,15.54
316	,2377.TW,微星,162.5,-1.81,3341,72.53,49.52,2.39,16.37
317	,2379.TW,瑞昱,567,-0.35,2036,60.81,60.72,2.06,6.96
318	,2382.TW,廣達,88.9,-1.33,9375,86.96,32.51,0.37,13.24
319	,2383.TW,台光電,276.5,-2.12,2643,67.39,44.68,2.55,9.44
320	,2385.TW,群光,82,0.37,3407,68.8,43.09,2.05,11.58
321	,2387.TW,精元,45.35,-0.33,592,65.32,1.58,18.03,33.5
322	,2388.TW,威盛,86.3,-5.37,24070,73.62,9.52,12.38,9.44
323	,2390.TW,云辰,22.45,-0.22,2421,34.17,1.77,24.77,29.3
324	,2392.TW,正崴,38.5,-0.52,723,44.21,11.95,4.1,21.6
325	,2393.TW,億光,50.8,-0.59,1718,50.49,38.42,6.84,7.04
326	,2395.TW,研華,399,0.5,3517,79.97,43.61,0.04,30.09
327	,2397.TW,友通,59.7,0.34,31,81.51,23.86,2.8,45.23
328	,2399.TW,映泰,22.6,-1.31,2688,24.11,9.82,23.39,7.53
329	,2401.TW,凌陽,38.35,-2.29,5046,36.74,14.59,16.15,17.59
330	,2402.TW,毅嘉,16.85,-1.75,632,37.53,12.54,11.31,19.12
331	,2404.TW,漢唐,171,0,2377,34.38,28.2,4.88,9.1
332	,2406.TW,國碩,35.25,-0.98,54762,23.93,21.32,28.52,4.88
333	,2408.TW,南亞科,75.7,-0.39,5809,84.43,20.82,1.97,29.64
334	,2409.TW,友達,23.1,-0.22,183607,57.14,33.54,11.72,0.36
335	,2412.TW,中華電,115,0.44,7288,78.6,17.23,0.02,35.29
