符合條件商品
資料日期：2021年 12月 17日
策略,	01準確度
序號,	代碼,	商品,	成交,	漲幅%,	總量,	融資,	外資,	自營商,	投信,	融券,	借券
執行時間：2021-12-19 14:32 符合檔數(1448)
257	,2211.TW,長榮鋼,55.1,0,1529,0.5,0.61,0.14,0,0.67,0.38
258	,2221.TW,大甲,39.65,0.63,685,0.63,0.4,0.48,0,0.74,0.39
259	,2228.TW,劍麟,67.4,-0.59,44,0.57,0.56,0.34,0,0.1,0.55
260	,2230.TW,泰茂,13.85,-1.07,9,0.46,0.53,0,0,0,0.07
261	,2231.TW,為升,180,-1.37,613,0.64,0.56,0.64,0.5,0.52,0.52
262	,2233.TW,宇隆,95,-0.52,136,0.58,0.52,0.5,0.67,0.39,0.48
263	,2235.TW,謚源,38.7,-0.39,16,0.31,0.41,0,0,0,0
264	,2236.TW,百達-KY,27.3,-1.44,25,0.58,0.54,0.37,0,0,0.17
265	,2239.TW,英利-KY,80.1,-1.72,170,0.58,0.64,0.54,0.24,0.32,0.56
266	,2241.TW,艾姆勒,49.4,-1,220,0.72,0.54,0.39,0,0.48,0.49
267	,2243.TW,宏旭-KY,18.5,-3.65,433,0.53,0.46,0.12,0,0.41,0.32
268	,2247.TW,汎德永業,209,-0.24,52,0.45,0.57,0.31,0,0,0.46
269	,2301.TW,光寶科,61.9,0.32,5761,0.48,0.6,0.42,0.62,0.58,0.38
270	,2302.TW,麗正,16.7,-0.3,165,0.53,0.54,0.31,0,0.56,0.38
271	,2303.TW,聯電,62.3,-1.11,87888,0.58,0.72,0.74,0.56,0.68,0.52
272	,2305.TW,全友,9.24,3.59,4678,0.56,0.76,0.23,0,0.43,0.56
273	,2308.TW,台達電,269,1.13,6887,0.48,0.72,0.68,0.62,0.52,0.5
274	,2312.TW,金寶,14.95,-1.97,41284,0.6,0.5,0.7,0,0.53,0.44
275	,2313.TW,華通,42.65,-1.04,9579,0.44,0.62,0.76,0.47,0.5,0.44
276	,2314.TW,台揚,75,-3.6,3759,0.64,0.68,0.76,0.32,0.57,0.46
277	,2316.TW,楠梓電,30,-0.99,762,0.34,0.64,0.33,0,0.5,0.45
278	,2317.TW,鴻海,103.5,0,39331,0.58,0.76,0.74,0.64,0.46,0.44
279	,2323.TW,中環,9.01,-0.55,2639,0.4,0.68,0.6,0.33,0.43,0.52
280	,2324.TW,仁寶,24,0,21589,0.54,0.7,0.52,0.52,0.61,0.48
281	,2327.TW,國巨,447,-0.89,1985,0.44,0.7,0.72,0.64,0.52,0.44
282	,2328.TW,廣宇,39,-1.27,2287,0.68,0.58,0.78,0.23,0.56,0.48
283	,2329.TW,華泰,25.3,-1.94,4170,0.72,0.6,0.62,0.11,0.66,0.36
284	,2330.TW,台積電,607,0.33,30319,0.34,0.6,0.58,0.52,0.6,0.48
285	,2331.TW,精英,22,-0.23,2456,0.54,0.7,0.64,0,0.7,0.68
