符合條件商品
資料日期：2023年  4月 17日
策略,	10主力買比
序號,	代碼,	商品,	成交,	漲幅%,	總量,	主力買進比
執行時間：2023-04-17 23:39 符合檔數(553)
433	,1541.TW,錩泰,36.4,3.12,92,1.25
434	,6609.TW,瀧澤科,39.25,0.51,187,1.25
435	,2603.TW,長榮,174.5,2.65,39884,1.25
436	,6672.TW,騰輝電子-KY,88.9,3.61,1505,1.25
437	,6129.TW,普誠,37.1,1.92,4554,1.25
438	,2243.TW,宏旭-KY,22.8,3.87,1097,1.24
439	,3528.TW,安馳,63.6,2.42,326,1.24
440	,1540.TW,喬福,17,2.1,385,1.24
441	,4972.TW,湯石照明,29.95,0,23,1.24
442	,4938.TW,和碩,70.7,0.71,6328,1.24
443	,1522.TW,堤維西,30.15,1.01,3115,1.24
444	,2430.TW,燦坤,42.65,0.83,305,1.23
445	,1904.TW,正隆,28.95,0.35,423,1.23
446	,3682.TW,亞太電,6.78,2.26,3953,1.23
447	,6719.TW,力智,342.5,8.04,10022,1.23
448	,4919.TW,新唐,149,0.34,2575,1.23
449	,5876.TW,上海商銀,47.15,-0.74,2210,1.23
450	,6654.TW,天正國際,50.6,0,17,1.23
451	,2939.TW,凱羿-KY,34.95,0.14,42,1.23
452	,4564.TW,元翎,24.4,1.24,679,1.23
453	,6290.TW,良維,71.8,1.84,6540,1.23
454	,6161.TW,捷波,34.3,1.18,944,1.23
455	,4576.TW,大銀微系統,79.8,-0.5,97,1.23
456	,2809.TW,京城銀,34.65,0.29,1057,1.23
457	,3227.TW,原相,110.5,0.91,441,1.23
458	,5905.TW,南仁湖,12.1,1.26,649,1.23
459	,3213.TW,茂訊,52.2,0.77,72,1.23
460	,2401.TW,凌陽,25.4,0.99,1215,1.22
461	,1721.TW,三晃,14.6,2.82,1578,1.22
462	,2722.TW,夏都,53.2,0,2597,1.22
463	,9802.TW,鈺齊-KY,131.5,2.73,1980,1.22
464	,4991.TW,環宇-KY,35,0.14,57,1.22
465	,1810.TW,和成,25.2,9.8,15661,1.22
466	,2106.TW,建大,31.85,0.47,843,1.22
467	,1726.TW,永記,74.1,0.27,34,1.22
468	,4568.TW,科際精密,64.3,0.94,16,1.22
469	,6482.TW,弘煜科,46,1.55,14,1.22
470	,2395.TW,研華,376,0.94,585,1.22
471	,6541.TW,泰福-KY,79.9,1.52,311,1.22
472	,3645.TW,達邁,35.7,1.71,237,1.22
473	,6470.TW,宇智,67.3,1.97,1360,1.22
474	,3709.TW,鑫聯大投控,22.8,0.66,32,1.22
475	,5902.TW,德記,38.7,2.65,82,1.22
476	,6283.TW,淳安,34.65,-1.84,294,1.22
477	,8409.TW,商之器,27.6,9.96,1824,1.21
478	,4540.TW,全球傳動,43.65,1.75,400,1.21
479	,4532.TW,瑞智,18.25,0.55,577,1.21
480	,5498.TW,凱崴,11.1,1.83,475,1.21
481	,2484.TW,希華,37.5,0.81,1404,1.21
482	,3622.TW,洋華,32.05,3.39,543,1.21
483	,6690.TW,安碁資訊,192.5,7.24,931,1.21
484	,5251.TW,天鉞電,24.6,1.03,324,1.21
485	,3356.TW,奇偶,40.8,0.62,945,1.21
486	,6693.TW,廣閎科,67.3,1.66,82,1.21
487	,2486.TW,一詮,31.25,7.2,13996,1.2
