符合條件商品
資料日期：2022年 12月 30日
策略,	A06突破6月均量
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/30),	區間漲幅%
執行時間：2023-01-04 00:51 符合檔數(658)
340	,4129.TW,聯合,47.95,0.31,624,47.8,0.31
341	,4130.TW,健亞,30.1,-7.38,6538,32.5,-7.38
342	,4133.TW,亞諾法,39.85,-3.28,2728,41.2,-3.28
343	,4137.TW,麗豐-KY,199,0.25,246,198.5,0.25
344	,4138.TW,曜亞,62.8,-1.57,100,63.8,-1.57
345	,4147.TW,中裕,69.7,-1.41,1269,70.7,-1.41
346	,4153.TW,鈺緯,37.1,-8.51,1456,40.55,-8.51
347	,4154.TW,樂威科-KY,39.05,-2.38,11,40,-2.38
348	,4155.TW,訊映,27.35,-0.73,978,27.55,-0.73
349	,4157.TW,太景*-KY,15.65,-2.49,1729,16.05,-2.49
350	,4160.TW,創源,27.4,0,13,27.4,0
351	,4161.TW,聿新科,27.5,-2.48,252,28.2,-2.48
352	,4163.TW,鐿鈦,104.5,-1.42,590,106,-1.42
353	,4164.TW,承業醫,43.65,0.23,110,43.55,0.23
354	,4167.TW,松瑞藥,23.85,-3.83,15367,24.8,-3.83
355	,4168.TW,醣聯,30.35,-0.33,1119,30.45,-0.33
356	,4171.TW,瑞基,70.9,7.42,18531,66,7.42
357	,4173.TW,久裕,19,-1.81,566,19.35,-1.81
358	,4175.TW,杏一,76.4,-2.05,111,78,-2.05
359	,4183.TW,福永生技,18.5,0,0,18.5,0
360	,4188.TW,安克,16.1,0.94,33,15.95,0.94
361	,4190.TW,佐登-KY,75.3,0.27,114,75.1,0.27
362	,4198.TW,欣大健康,25.7,-3.02,3,26.5,-3.02
363	,4304.TW,勝昱,9.59,-0.1,53,9.6,-0.1
364	,4305.TW,世坤,30.35,0,2,30.35,0
365	,4417.TW,金洲,38.8,0.78,67,38.5,0.78
366	,4419.TW,元勝,10.35,0,0,10.35,0
367	,4440.TW,宜新實業,32,-0.31,27,32.1,-0.31
368	,4523.TW,永彰,40.2,-0.99,93,40.6,-0.99
369	,4527.TW,方土霖,28.55,0,9,28.55,0
370	,4528.TW,江興鍛,31.9,0,4,31.9,0
371	,4536.TW,拓凱,182,-0.55,352,183,-0.55
372	,4540.TW,全球傳動,36.35,-0.27,12,36.45,-0.27
373	,4545.TW,銘鈺,29.55,-1.5,48,30,-1.5
374	,4550.TW,長佳,23,0,14,23,0
375	,4552.TW,力達-KY,30,0.33,25,29.9,0.33
376	,4562.TW,穎漢,15.1,0,47,15.1,0
377	,4563.TW,百德,39.9,1.14,1860,39.45,1.14
378	,4564.TW,元翎,24,-1.23,240,24.3,-1.23
379	,4576.TW,大銀微系統,70.1,1.15,9,69.3,1.15
380	,4581.TW,光隆精密-KY,35.7,-0.14,7,35.75,-0.14
381	,4706.TW,大恭,16.95,0.59,8,16.85,0.59
382	,4711.TW,永純,14.95,-0.33,25,15,-0.33
383	,4722.TW,國精化,33.95,0.3,21,33.85,0.3
384	,4728.TW,雙美,135,-0.74,29,136,-0.74
