符合條件商品
資料日期：2023年  1月  3日
策略,	07基本資料D
序號,	代碼,	商品,	成交,	漲幅%,	總量,	6月均量,	當月總量,	最大漲幅,	月份,	大戶增減
執行時間：2023-01-03 23:46 符合檔數(1652)
285	,2233.TW,宇隆,100,-0.99,59,6948.83,3419,28.84,202106,1
286	,2235.TW,謚源,46.75,-0.21,0,764.33,436,22.96,202208,1
287	,2236.TW,百達-KY,26.05,0.58,1841,3851.5,18816,48.5,202104,0
288	,2239.TW,英利-KY,59,0.68,51,2784.5,1854,46.41,202006,1
289	,2243.TW,宏旭-KY,16.7,2.14,927,6757,11008,38.12,202109,1
290	,2301.TW,光寶科,64.2,0.63,3481,169977,250421,12.87,201908,0
291	,2302.TW,麗正,16.75,0.3,162,20098.33,10854,44.33,202009,0
292	,2303.TW,聯電,41.4,1.72,34838,1557619.67,1149135,40.57,202007,0
293	,2305.TW,全友,26.3,2.94,731,149519.33,24402,78.22,202207,1
294	,2308.TW,台達電,285.5,-0.35,4621,134514.67,99797,21.38,202006,1
295	,2312.TW,金寶,13.5,0,1551,203973.67,125532,37.02,202104,1
296	,2313.TW,華通,45.55,2.36,5331,354590,244165,27.84,202004,0
297	,2314.TW,台揚,39,-0.64,330,76409.33,22388,49.24,202109,0
298	,2316.TW,楠梓電,27,0.37,25,3310,2883,29.54,202004,1
299	,2317.TW,鴻海,99.1,-0.8,47342,735341.67,773352,21.2,202013,0
300	,2321.TW,東訊,6.16,2.5,22,278.83,541,102.86,202010,1
301	,2323.TW,中環,7.36,1.52,1568,72140.67,108396,37.35,201910,0
302	,2324.TW,仁寶,23.2,0.65,9711,307720.5,334098,20.27,202103,1
303	,2327.TW,國巨,465.5,3.22,1742,66463.83,63068,42.44,202004,1
304	,2328.TW,廣宇,38.1,2.14,1781,66381.33,211590,61.21,202013,1
305	,2329.TW,華泰,17.65,0.57,898,61648.17,52552,30.75,202107,0
306	,2330.TW,台積電,453,1,15311,791723.67,663747,35.94,202007,0
307	,2331.TW,精英,21.25,3.16,2345,94574.5,44897,50.43,202012,0
308	,2332.TW,友訊,14.8,-0.34,833,66006.67,93634,55.92,202006,0
309	,2337.TW,旺宏,34.25,1.48,3017,230749.17,342591,41.57,202004,1
310	,2338.TW,光罩,87.5,3.31,6908,136626.83,195191,47.29,202211,1
311	,2340.TW,台亞,34,0.74,506,76968.5,42887,36.13,202111,1
312	,2342.TW,茂矽,37.8,1.89,529,32528.67,22145,52.11,202002,0
313	,2344.TW,華邦電,19.75,0.77,6210,351208.17,286916,58.74,202012,0
314	,2345.TW,智邦,242,3.2,1554,79264.5,54479,33.44,202004,0
315	,2347.TW,聯強,59.1,-0.17,2803,103116.83,139397,13.36,202212,1
316	,2348.TW,海悅,63.7,0.16,27,2393.83,1892,23.83,202005,1
317	,2349.TW,錸德,7.69,1.05,727,26218.5,35612,88.07,202010,0
318	,2351.TW,順德,97.5,1.14,487,53186.33,28981,32.17,202011,0
319	,2352.TW,佳世達,27.8,-1.24,2911,110926.17,144726,25.67,202011,0
320	,2353.TW,宏碁,23.65,0.42,5704,267118.83,199432,17.13,202103,0
321	,2354.TW,鴻準,51.3,-1.16,2552,58236.67,75649,40.07,202013,1
322	,2355.TW,敬鵬,28.85,0.35,169,20046.5,14991,24.04,202004,0
323	,2356.TW,英業達,26.1,-0.57,5224,211081.67,289097,8.87,202103,1
324	,2357.TW,華碩,270,0.56,1059,70730,70757,22.53,202103,1
325	,2358.TW,廷鑫,14.05,0,524,53448.17,48812,61.89,202107,0
326	,2359.TW,所羅門,27.2,4.21,4780,104975.83,79799,36.57,202212,0
327	,2360.TW,致茂,182,0.55,240,31589,22268,15.65,202006,0
328	,2362.TW,藍天,30.6,0,64,5328.67,3543,20.45,202110,0
329	,2363.TW,矽統,16.2,-0.31,1263,53014.17,55452,44.01,202004,0
330	,2364.TW,倫飛,101.5,2.42,783,70040.33,22817,551.32,202110,0
331	,2365.TW,昆盈,10.25,-1.44,455,11025.33,4191,20.67,202008,1
332	,2367.TW,燿華,17.6,2.03,1907,399622.83,156000,36.47,202208,0
333	,2368.TW,金像電,89.2,2.76,5622,269475.17,98318,63.85,202003,0
