符合條件商品
資料日期：2021年 12月  3日
策略,	10漲停同買同賣資料
序號,	代碼,	商品,	成交,	漲幅%,	總量,	漲停次數,	四大同買,	四大同賣,	內外盤
執行時間：2021-12-05 17:22 符合檔數(1584)
265	,2105.TW,正新,34.05,-0.15,2592,0,11,2,4
266	,2106.TW,建大,30,1.01,642,1,2,1,3
267	,2107.TW,厚生,22.8,0.66,271,0,0,1,4
268	,2108.TW,南帝,84.5,-0.82,3079,6,7,6,11
269	,2109.TW,華豐,16.5,0.3,95,5,0,0,14
270	,2114.TW,鑫永銓,120,1.69,123,1,2,0,9
271	,2115.TW,六暉-KY,39.35,0,112,0,0,0,10
272	,2201.TW,裕隆,41.45,0.36,1237,1,5,3,8
273	,2204.TW,中華,65.2,0.31,270,2,6,1,10
274	,2206.TW,三陽工業,26.2,0.19,407,0,0,0,8
275	,2207.TW,和泰車,612,-1.92,237,0,4,0,17
276	,2208.TW,台船,21.95,0.46,1441,6,2,0,11
277	,2221.TW,大甲,42.65,3.27,1019,9,0,0,13
278	,2228.TW,劍麟,67.3,0.45,38,1,0,0,7
279	,2230.TW,泰茂,13.35,-0.37,27,4,0,0,10
280	,2231.TW,為升,181.5,1.4,713,4,5,2,9
281	,2233.TW,宇隆,95.8,1.05,378,2,7,5,6
282	,2235.TW,謚源,39.15,0.38,7,0,0,0,9
283	,2236.TW,百達-KY,26.4,0,26,1,0,0,13
284	,2239.TW,英利-KY,82.4,1.48,263,2,0,2,13
285	,2241.TW,艾姆勒,50.7,-1.17,242,0,0,0,5
286	,2243.TW,宏旭-KY,18.95,3.84,457,22,0,0,7
287	,2247.TW,汎德永業,210.5,0.48,25,0,0,0,8
288	,2301.TW,光寶科,60.6,0.17,5895,0,10,9,13
289	,2302.TW,麗正,17.3,1.47,229,6,0,0,11
290	,2303.TW,聯電,68.3,2.4,184870,1,25,22,11
291	,2305.TW,全友,8.78,-0.34,772,2,0,0,14
292	,2308.TW,台達電,261.5,0,5304,0,9,13,11
293	,2312.TW,金寶,13.2,1.15,5608,3,0,0,11
294	,2313.TW,華通,41.2,1.6,6118,0,6,15,12
295	,2314.TW,台揚,78.2,1.56,3125,14,2,5,10
296	,2316.TW,楠梓電,29.1,-0.34,87,1,0,0,11
297	,2317.TW,鴻海,105,0,18385,0,14,10,11
298	,2321.TW,東訊,6.37,3.58,19,5,0,0,13
299	,2323.TW,中環,9,0.67,5388,1,1,0,12
300	,2324.TW,仁寶,23.3,-0.21,15363,1,9,5,11
301	,2327.TW,國巨,472.5,1.61,3369,0,14,15,17
302	,2328.TW,廣宇,38,0.4,1578,2,3,4,9
303	,2329.TW,華泰,25.85,1.17,7098,2,1,1,15
304	,2330.TW,台積電,608,-1.14,27572,0,9,9,15
305	,2331.TW,精英,23.35,0,3683,1,0,0,11
306	,2332.TW,友訊,18.2,0.55,1207,1,1,1,12
307	,2337.TW,旺宏,42.4,-0.35,19225,2,11,18,13
308	,2338.TW,光罩,109.5,9.94,54480,14,12,4,13
309	,2340.TW,光磊,58.8,-0.17,43393,6,0,2,15
310	,2342.TW,茂矽,49.3,1.86,5234,3,0,0,14
311	,2344.TW,華邦電,32.6,2.68,48890,3,17,20,21
312	,2345.TW,智邦,277,-2.46,2749,0,4,8,14
