符合條件商品
資料日期：2022年  1月  4日
策略,	01準確度
序號,	代碼,	商品,	成交,	漲幅%,	總量,	融資,	外資,	自營商,	投信,	融券,	借券
執行時間：2022-01-05 08:37 符合檔數(1442)
194	,1806.TW,冠軍,12.25,-1.61,1795,0.54,0.48,0.3,0,0.55,0.4
195	,1808.TW,潤隆,55.2,-0.9,87,0.4,0.64,0.53,0,0,0.44
196	,1809.TW,中釉,15.15,-2.57,2055,0.62,0.44,0.29,0,0.64,0.44
197	,1810.TW,和成,17.25,0,1987,0.56,0.68,0.33,0.2,0.59,0.35
198	,1813.TW,寶利徠,18.15,0,44,0.43,0.48,0,0,0,0
199	,1815.TW,富喬,17.15,0,1637,0.62,0.64,0.7,0,0.72,0.44
200	,1817.TW,凱撒衛,37,0,23,0.54,0.56,0.29,0,0,0.39
201	,1903.TW,士紙,64.4,0.16,139,0.45,0.66,0.62,0,0.75,0.54
202	,1904.TW,正隆,35.05,0,3329,0.58,0.54,0.55,0.53,0.42,0.54
203	,1905.TW,華紙,24.15,-0.21,2783,0.66,0.58,0.58,0.22,0.64,0.48
204	,1906.TW,寶隆,20.3,-0.73,347,0.68,0.5,0.3,0,0.46,0.5
205	,1907.TW,永豐餘,34.45,-1.01,2928,0.64,0.48,0.84,0.55,0.54,0.54
206	,1909.TW,榮成,23.9,-0.83,3415,0.48,0.56,0.64,0.56,0.58,0.54
207	,2002.TW,中鋼,34.45,-1.57,46180,0.72,0.7,0.7,0.6,0.64,0.44
208	,2006.TW,東和鋼鐵,66.2,-1.19,2411,0.68,0.64,0.78,0.72,0.57,0.51
209	,2007.TW,燁興,20.4,-1.45,1528,0.67,0.76,0.44,0,0.72,0.54
210	,2008.TW,高興昌,19.8,0,82,0.62,0.58,0.21,0,0.52,0.45
211	,2009.TW,第一銅,43.1,-0.46,1301,0.74,0.58,0.46,0,0.64,0.58
212	,2010.TW,春源,23.8,-1.45,1498,0.82,0.4,0.58,0.07,0.58,0.5
213	,2012.TW,春雨,30.5,-0.16,155,0.65,0.5,0.54,0.08,0.6,0.52
214	,2013.TW,中鋼構,61.3,-0.16,3165,0.74,0.5,0.71,0,0.46,0.46
215	,2014.TW,中鴻,40.15,-1.35,11933,0.71,0.54,0.6,0.58,0.67,0.48
216	,2015.TW,豐興,82.5,-0.48,366,0.6,0.6,0.69,0.31,0.38,0.41
217	,2017.TW,官田鋼,19.8,-0.75,718,0.6,0.48,0.56,0.06,0.76,0.54
218	,2020.TW,美亞,31.2,-0.95,490,0.68,0.56,0.47,0.08,0.51,0.48
