符合條件商品
資料日期：2023年  4月 20日
策略,	01主力買進股
序號,	代碼,	商品,	成交,	漲幅%,	總量,	主力買進比
執行時間：2023-04-20 23:57 符合檔數(641)
322	,4164.TW,承業醫,70.7,-4.2,12836,0.78
323	,9939.TW,宏全,98.7,-1.2,903,0.78
324	,5488.TW,松普,13.8,-1.78,980,0.78
325	,2303.TW,聯電,50.7,-0.98,38506,0.78
326	,2412.TW,中華電,125,0.4,8924,0.78
327	,3540.TW,曜越,41.4,-5.8,2289,0.78
328	,3003.TW,健和興,78.3,-1.14,4209,0.78
329	,5309.TW,系統電,43.5,-1.69,6353,0.78
330	,3491.TW,昇達科,172,-2.82,1987,0.77
331	,6782.TW,視陽,303,-7.62,2250,0.77
332	,2405.TW,輔信,12.85,-3.02,3519,0.77
333	,8046.TW,南電,255,0.39,4239,0.77
334	,1802.TW,台玻,20.3,-4.02,9295,0.77
335	,3663.TW,鑫科,35.2,-4.99,735,0.77
336	,2495.TW,普安,26.5,-3.64,10359,0.77
337	,2705.TW,六福,17.9,-1.1,1118,0.77
338	,8112.TW,至上,44.25,-0.23,970,0.77
339	,5608.TW,四維航,26.3,-0.19,1611,0.77
340	,3558.TW,神準,300.5,-3.69,2598,0.77
341	,2375.TW,凱美,73.2,-2.01,1166,0.76
342	,1504.TW,東元,44,-2.22,20971,0.76
343	,2201.TW,裕隆,82,-1.44,43764,0.76
344	,2436.TW,偉詮電,50.6,-2.69,1621,0.76
345	,2331.TW,精英,23.55,-1.05,4369,0.76
346	,1210.TW,大成,52,-1.14,1373,0.76
347	,4966.TW,譜瑞-KY,1070,-4.04,1442,0.76
348	,4746.TW,台耀,82.6,-1.2,1794,0.76
349	,4971.TW,IET-KY,67.6,-3.01,590,0.76
350	,8927.TW,北基,46,0.22,2708,0.76
351	,6415.TW,矽力*-KY,501,-2.15,1877,0.76
352	,8938.TW,明安,91.7,-1.4,1202,0.76
353	,4908.TW,前鼎,35.5,-2.2,1155,0.76
354	,7402.TW,邑錡,72.6,-4.35,1120,0.76
355	,3356.TW,奇偶,38.6,-2.4,1516,0.76
356	,3682.TW,亞太電,6.53,-1.36,2592,0.76
357	,6523.TW,達爾膚,147.5,2.08,2026,0.76
358	,6829.TW,千附精密,133.5,-7.29,4081,0.75
359	,2722.TW,夏都,52.2,-4.74,1457,0.75
360	,1708.TW,東鹼,42,-0.83,5362,0.75
361	,2441.TW,超豐,54.3,-0.37,726,0.75
362	,5410.TW,國眾,36.2,-2.16,622,0.75
363	,1310.TW,台苯,14.85,0,551,0.75
364	,4541.TW,晟田,39,-5.57,4759,0.74
365	,3059.TW,華晶科,34.55,-2.81,2395,0.74
366	,8996.TW,高力,210,-6.67,5327,0.74
367	,6179.TW,亞通,32.55,-2.69,2355,0.74
368	,1809.TW,中釉,14.85,-0.34,6754,0.74
369	,2732.TW,六角,172.5,-8.97,6260,0.74
370	,3206.TW,志豐,34.45,-1.15,622,0.74
371	,3591.TW,艾笛森,24.35,-4.7,4030,0.74
372	,6751.TW,智聯服務,131,-2.6,1247,0.74
373	,3032.TW,偉訓,52.8,-5.55,8506,0.74
374	,4129.TW,聯合,62.4,-1.89,5693,0.73
375	,8070.TW,長華*,34.65,-1.84,728,0.73
376	,6217.TW,中探針,45.7,-1.93,987,0.73
377	,2891.TW,中信金,22.35,-0.45,10575,0.73
378	,1108.TW,幸福,15.4,-2.53,1926,0.73
379	,2887.TW,台新金,17.05,-0.58,10621,0.73
380	,2002.TW,中鋼,30.45,0,9454,0.72
381	,6244.TW,茂迪,40,-3.38,77758,0.72
382	,2345.TW,智邦,298.5,-6.57,4602,0.72
383	,3504.TW,揚明光,80.6,-4.05,1743,0.72
384	,8926.TW,台汽電,48.55,-0.51,4578,0.71
385	,1909.TW,榮成,17.6,1.15,26605,0.71
386	,6138.TW,茂達,168,-4.55,2745,0.71
387	,2492.TW,華新科,102,-0.97,3501,0.71
388	,8105.TW,凌巨,14.2,-4.05,5453,0.71
389	,3013.TW,晟銘電,22.7,-2.16,4781,0.71
390	,3701.TW,大眾控,57,-2.23,2135,0.71
391	,8028.TW,昇陽半導體,58.6,-1.84,2456,0.71
392	,3078.TW,僑威,54.7,-3.53,35343,0.71
393	,8261.TW,富鼎,109.5,-3.1,1647,0.7
394	,5347.TW,世界,90.3,-0.66,6404,0.7
395	,3162.TW,精確,51.9,-4.42,4703,0.7
396	,2867.TW,三商壽,5.13,-0.97,8930,0.7
