符合條件商品
資料日期：2021年 10月 29日
策略,	每日資料
序號,	代碼,	商品,	成交,	漲幅%,	總量,	融券使用率,	法人持股比例,	融資使用率,	投信持股比例
執行時間：2021-10-31 18:46 符合檔數(1446)
304	,2362.TW,藍天,34.45,-1.85,1629,0.01,10.5,4.96,0
305	,2363.TW,矽統,23.9,-1.44,9118,0.48,7.6,12.69,0
306	,2365.TW,昆盈,10.6,2.91,734,0.01,6.4,7.31,0
307	,2367.TW,燿華,18.1,0.28,1930,0.31,10.4,15.7,0.02
308	,2368.TW,金像電,66.4,0.45,11747,1.26,18.97,16.35,8.02
309	,2369.TW,菱生,25.2,-3.26,8313,1.67,19.92,19.12,0.01
310	,2371.TW,大同,34.4,-0.86,53450,0.94,19.47,27.04,1.31
311	,2373.TW,震旦行,88.8,0,8,0,1.91,0.04,0
312	,2374.TW,佳能,19.55,2.09,2402,0.24,9.86,8.58,0
313	,2375.TW,凱美,86.8,1.05,1032,0.3,7.7,31.86,0
314	,2376.TW,技嘉,112.5,4.65,24214,0.65,39.24,9.33,6.49
315	,2377.TW,微星,140,0.72,3357,0.07,48.7,2.71,4.38
316	,2379.TW,瑞昱,499,-0.2,2457,0.41,60.67,2.63,3.18
317	,2382.TW,廣達,78,-1.14,3824,0,31.5,0.35,2.55
318	,2383.TW,台光電,240.5,0,7666,0.28,39.64,2.31,6.61
319	,2385.TW,群光,79.4,-1.12,2307,0.02,42.83,2.03,4.29
320	,2387.TW,精元,43.4,-2.47,581,0.31,4.56,11.71,2.43
321	,2388.TW,威盛,62.1,9.91,44600,1.77,8.52,8.41,0.01
322	,2390.TW,云辰,21.9,-1.57,6820,1.18,1.53,24.24,0
323	,2392.TW,正崴,38.6,-1.15,1446,0,11.9,4.15,0.01
324	,2393.TW,億光,49.5,1.43,3350,0.06,41.04,4.75,0.14
325	,2395.TW,研華,363,-0.41,760,0,43.06,0.04,0.65
326	,2397.TW,友通,55.7,-0.36,102,0,23.89,2.77,0
327	,2399.TW,映泰,20.25,-3.57,4030,0.65,11.03,25.66,0
328	,2401.TW,凌陽,37,0.68,14249,1.14,13.71,16.31,0
329	,2402.TW,毅嘉,16.2,-0.92,618,0.03,12.35,11.2,0.01
330	,2404.TW,漢唐,183.5,-0.27,190,0.09,30.41,4.53,4.24
331	,2406.TW,國碩,25,0.4,20205,2.71,5.09,26.53,0
332	,2408.TW,南亞科,66.5,0,13511,0.29,19.11,2.64,1.33
333	,2409.TW,友達,19.2,0.26,252058,0.96,32.25,12.74,4.01
334	,2412.TW,中華電,110.5,0.45,7601,0,17.42,0.08,0.56
335	,2413.TW,環科,18.95,0.26,149,0.05,0.98,9.91,0
336	,2414.TW,精技,38.2,1.33,755,0.03,8.25,2.16,0.07
337	,2415.TW,錩新,46.25,2.89,4546,0.56,3.17,18.88,0
338	,2417.TW,圓剛,27.15,-1.99,900,2.33,4.01,18.53,0
339	,2419.TW,仲琦,21,-1.64,1535,0.01,3.68,5.59,0
340	,2420.TW,新巨,40.3,0.88,460,0.02,6.09,1.62,0.02
341	,2421.TW,建準,38.5,1.18,347,0.1,19.56,4.61,0
342	,2423.TW,固緯,26.65,0.38,153,0,3.61,1.97,0
343	,2425.TW,承啟,26.8,0.37,631,0,19.1,16.65,0
344	,2426.TW,鼎元,26.2,0,5669,0.26,9.23,16.09,0
345	,2427.TW,三商電,10.4,-0.48,253,0,2.45,10.48,0
346	,2428.TW,興勤,170,0.59,285,0,15.44,6.29,0.1
347	,2430.TW,燦坤,42.3,-2.76,2159,0.32,9.6,4.83,0.02
348	,2431.TW,聯昌,11.3,0.44,224,0.08,2.11,14.02,0
349	,2433.TW,互盛電,51.2,0.39,62,0,0.82,0.11,0
350	,2434.TW,統懋,37.1,-0.13,6,0.17,1.1,9.13,0
