符合條件商品
資料日期：2021年 12月  6日
策略,	05準確度
序號,	代碼,	商品,	成交,	漲幅%,	總量,	融資,	外資,	自營商,	投信,	融券,	借券,	法人
執行時間：2021-12-07 02:05 符合檔數(1393)
246	,2204.TW,中華,64.7,-0.77,394,0.5,0.56,0.56,0.33,0.45,0.45,0.59
247	,2206.TW,三陽工業,26.3,0.38,353,0.47,0.66,0.6,0,0.39,0.47,0.67
248	,2207.TW,和泰車,619,1.14,171,0.33,0.81,0.5,0.52,0.16,0.45,0.78
249	,2208.TW,台船,22.1,0.68,1738,0.64,0.63,0.6,0,0.31,0.59,0.65
250	,2211.TW,長榮鋼,52.5,-0.38,307,0.57,0.6,0.17,0,0,0.43,0.6
251	,2221.TW,大甲,42.7,0.12,659,0.6,0.35,0.22,0,0.17,0.24,0.37
252	,2228.TW,劍麟,67.2,-0.15,21,0.59,0.65,0.55,0.07,0.28,0.51,0.68
253	,2230.TW,泰茂,13.4,0.37,21,0.53,0.45,0,0,0.17,0.16,0.46
254	,2231.TW,為升,184.5,1.65,900,0.61,0.66,0.71,0.61,0.4,0.5,0.71
255	,2233.TW,宇隆,95,-0.84,233,0.58,0.54,0.46,0.5,0.38,0.41,0.62
256	,2236.TW,百達-KY,26.4,0,5,0.51,0.49,0.29,0,0,0.17,0.51
257	,2239.TW,英利-KY,81.9,-0.61,158,0.56,0.62,0.44,0.27,0.33,0.52,0.66
258	,2241.TW,艾姆勒,50.4,-0.59,210,0.69,0.55,0.32,0,0.33,0.47,0.57
259	,2243.TW,宏旭-KY,19.05,0.53,163,0.51,0.46,0.17,0,0.13,0.24,0.47
260	,2247.TW,汎德永業,209,-0.71,27,0.44,0.52,0.37,0,0,0.46,0.54
261	,2301.TW,光寶科,62.1,2.48,7061,0.41,0.6,0.48,0.55,0.4,0.41,0.67
262	,2302.TW,麗正,16.95,-2.02,229,0.51,0.52,0.2,0,0.38,0.33,0.51
263	,2303.TW,聯電,67.3,-1.46,135275,0.48,0.63,0.63,0.59,0.25,0.43,0.65
264	,2305.TW,全友,8.73,-0.57,798,0.58,0.66,0.37,0,0.25,0.46,0.69
265	,2308.TW,台達電,261,-0.19,4449,0.45,0.67,0.55,0.55,0.41,0.43,0.68
